generation,genome_idx,fitness,n_hidden,gene_in,gene_out,weight,enabled,innov
41,7,2465.2833333333333,3,2,11,-0.243385,1,7
41,7,2465.2833333333333,3,2,12,0.394002,1,8
41,7,2465.2833333333333,3,2,13,0.712150,1,9
41,7,2465.2833333333333,3,3,11,2.443201,1,10
41,7,2465.2833333333333,3,3,12,-0.669437,1,11
41,7,2465.2833333333333,3,3,13,-0.313800,1,12
41,7,2465.2833333333333,3,4,11,-0.349239,1,13
41,7,2465.2833333333333,3,4,12,-1.164332,1,14
41,7,2465.2833333333333,3,4,13,2.764242,1,15
41,7,2465.2833333333333,3,5,11,0.772291,1,16
41,7,2465.2833333333333,3,5,12,0.878326,1,17
41,7,2465.2833333333333,3,5,13,1.452440,1,18
41,7,2465.2833333333333,3,6,11,-0.289340,1,19
41,7,2465.2833333333333,3,6,12,1.310127,1,20
41,7,2465.2833333333333,3,6,13,0.747679,1,21
41,7,2465.2833333333333,3,7,11,-1.708354,1,22
41,7,2465.2833333333333,3,7,12,-0.666117,1,23
41,7,2465.2833333333333,3,7,13,-0.862912,1,24
41,7,2465.2833333333333,3,8,11,0.634789,1,25
41,7,2465.2833333333333,3,8,12,-0.534126,1,26
41,7,2465.2833333333333,3,8,13,2.209383,1,27
41,7,2465.2833333333333,3,9,11,0.246869,1,28
41,7,2465.2833333333333,3,9,12,0.394149,1,29
41,7,2465.2833333333333,3,9,13,0.463862,1,30
41,7,2465.2833333333333,3,10,11,-1.565295,1,31
41,7,2465.2833333333333,3,10,12,0.393339,1,32
41,7,2465.2833333333333,3,10,13,-0.311679,0,33
41,7,2465.2833333333333,3,0,14,-1.692324,0,147
41,7,2465.2833333333333,3,14,11,-0.129522,1,148
41,7,2465.2833333333333,3,0,15,0.838947,1,36
41,7,2465.2833333333333,3,15,14,0.715181,1,37
41,7,2465.2833333333333,3,10,16,0.858521,1,63
41,7,2465.2833333333333,3,16,13,-0.321056,1,64
41,8,2465.2833333333333,4,0,11,-0.429171,0,1
41,8,2465.2833333333333,4,0,12,-0.763474,1,2
41,8,2465.2833333333333,4,0,13,0.184483,1,3
41,8,2465.2833333333333,4,1,11,1.751896,1,4
41,8,2465.2833333333333,4,1,12,-2.232656,1,5
41,8,2465.2833333333333,4,1,13,-1.314607,1,6
41,8,2465.2833333333333,4,2,11,0.052631,1,7
41,8,2465.2833333333333,4,2,12,-0.083823,1,8
41,8,2465.2833333333333,4,2,13,0.094994,1,9
41,8,2465.2833333333333,4,3,11,2.181931,1,10
41,8,2465.2833333333333,4,3,12,-0.550332,1,11
41,8,2465.2833333333333,4,3,13,-0.920582,1,12
41,8,2465.2833333333333,4,4,11,-0.103697,1,13
41,8,2465.2833333333333,4,4,12,-1.770454,1,14
41,8,2465.2833333333333,4,4,13,2.626193,1,15
41,8,2465.2833333333333,4,5,11,-0.206914,1,16
41,8,2465.2833333333333,4,5,12,0.676829,1,17
41,8,2465.2833333333333,4,5,13,2.185911,1,18
41,8,2465.2833333333333,4,6,11,-0.264084,0,19
41,8,2465.2833333333333,4,6,12,-0.899114,1,20
41,8,2465.2833333333333,4,6,13,1.613191,1,21
41,8,2465.2833333333333,4,7,11,-1.618428,1,22
41,8,2465.2833333333333,4,7,12,-0.269911,1,23
41,8,2465.2833333333333,4,7,13,-1.526620,1,24
41,8,2465.2833333333333,4,8,11,0.350589,1,25
41,8,2465.2833333333333,4,8,12,0.894289,1,26
41,8,2465.2833333333333,4,8,13,2.171301,1,27
41,8,2465.2833333333333,4,9,11,0.417324,1,28
41,8,2465.2833333333333,4,9,12,0.302650,1,29
41,8,2465.2833333333333,4,9,13,0.279587,1,30
41,8,2465.2833333333333,4,10,11,-1.732024,1,31
41,8,2465.2833333333333,4,10,12,0.483850,1,32
41,8,2465.2833333333333,4,10,13,0.461953,0,33
41,8,2465.2833333333333,4,0,14,-1.644850,0,147
41,8,2465.2833333333333,4,14,11,-0.698887,1,148
41,8,2465.2833333333333,4,0,15,-0.030676,1,36
41,8,2465.2833333333333,4,15,14,0.583979,1,37
41,8,2465.2833333333333,4,10,16,1.188034,1,63
41,8,2465.2833333333333,4,16,13,-0.228424,1,64
41,8,2465.2833333333333,4,6,17,1.000000,1,62
41,8,2465.2833333333333,4,17,11,-0.264084,1,63
41,9,2385.383333333333,3,0,11,-1.853465,0,1
41,9,2385.383333333333,3,0,12,-1.737025,1,2
41,9,2385.383333333333,3,0,13,-0.812592,1,3
41,9,2385.383333333333,3,1,11,1.344187,1,4
41,9,2385.383333333333,3,1,12,-1.167683,1,5
41,9,2385.383333333333,3,1,13,-0.648262,1,6
41,9,2385.383333333333,3,2,11,1.156610,1,7
41,9,2385.383333333333,3,2,12,-0.455068,1,8
41,9,2385.383333333333,3,2,13,0.656344,1,9
41,9,2385.383333333333,3,3,11,2.370449,1,10
41,9,2385.383333333333,3,3,12,-0.766252,1,11
41,9,2385.383333333333,3,3,13,-0.274159,1,12
41,9,2385.383333333333,3,4,11,-0.064359,1,13
41,9,2385.383333333333,3,4,12,-1.133944,1,14
41,9,2385.383333333333,3,4,13,2.770794,1,15
41,9,2385.383333333333,3,5,11,0.735401,1,16
41,9,2385.383333333333,3,5,12,0.062616,1,17
41,9,2385.383333333333,3,5,13,1.621386,1,18
41,9,2385.383333333333,3,6,11,-0.670578,1,19
41,9,2385.383333333333,3,6,12,1.123425,1,20
41,9,2385.383333333333,3,6,13,-0.798039,1,21
41,9,2385.383333333333,3,7,11,-0.934671,1,22
41,9,2385.383333333333,3,7,12,0.428846,1,23
41,9,2385.383333333333,3,7,13,-1.050485,1,24
41,9,2385.383333333333,3,8,11,-0.019474,1,25
41,9,2385.383333333333,3,8,12,-0.257422,1,26
41,9,2385.383333333333,3,8,13,2.117956,1,27
41,9,2385.383333333333,3,9,11,0.528266,1,28
41,9,2385.383333333333,3,9,12,0.105855,1,29
41,9,2385.383333333333,3,9,13,-0.313121,1,30
41,9,2385.383333333333,3,10,11,-1.694124,1,31
41,9,2385.383333333333,3,10,12,-0.078513,1,32
41,9,2385.383333333333,3,10,13,-0.199114,0,33
41,9,2385.383333333333,3,0,14,-1.298231,0,147
41,9,2385.383333333333,3,14,11,0.255963,1,148
41,9,2385.383333333333,3,0,15,-0.033996,1,36
41,9,2385.383333333333,3,15,14,0.505883,1,37
41,9,2385.383333333333,3,10,16,1.449078,1,63
41,9,2385.383333333333,3,16,13,-0.741131,1,64
41,10,2464.9500000000003,3,0,11,-0.699646,0,1
41,10,2464.9500000000003,3,0,12,-1.585665,1,2
41,10,2464.9500000000003,3,0,13,1.193372,1,3
41,10,2464.9500000000003,3,1,11,1.346271,1,4
41,10,2464.9500000000003,3,1,12,-2.074467,1,5
41,10,2464.9500000000003,3,1,13,-0.419869,1,6
41,10,2464.9500000000003,3,2,11,1.656445,1,7
41,10,2464.9500000000003,3,2,12,-0.101022,1,8
41,10,2464.9500000000003,3,2,13,-0.209555,1,9
41,10,2464.9500000000003,3,3,11,1.780004,1,10
41,10,2464.9500000000003,3,3,12,-1.173643,1,11
41,10,2464.9500000000003,3,3,13,0.199554,1,12
41,10,2464.9500000000003,3,4,11,-0.099007,1,13
41,10,2464.9500000000003,3,4,12,-1.820776,1,14
41,10,2464.9500000000003,3,4,13,2.721341,1,15
41,10,2464.9500000000003,3,5,11,-0.158807,1,16
41,10,2464.9500000000003,3,5,12,1.118517,1,17
41,10,2464.9500000000003,3,5,13,2.142388,1,18
41,10,2464.9500000000003,3,6,11,-1.034440,1,19
41,10,2464.9500000000003,3,6,12,-0.667825,1,20
41,10,2464.9500000000003,3,6,13,-0.592478,1,21
41,10,2464.9500000000003,3,7,11,-0.679161,1,22
41,10,2464.9500000000003,3,7,12,0.483643,1,23
41,10,2464.9500000000003,3,7,13,-1.686127,1,24
41,10,2464.9500000000003,3,8,11,0.180135,1,25
41,10,2464.9500000000003,3,8,12,-0.466936,1,26
41,10,2464.9500000000003,3,8,13,2.383041,1,27
